FECHA;ORIGEN;DESTINO;DISTANCIA DESTINO;CONSUMO ACPM DESTINO e;ODOM INICIAL;ODOM FINAL;DISTANCIA RECORRIDA;AUDITORIA DISTANCIA;CANTIDAD CARGADA;CANTIDAD DESCARGADA;DIFERENCIA;TIEMPO DE CARGUE;TIEMPO MUERTO;TIEMPO EN EL VIAJE;HORAS MOTOR;DIAS DE VIAJE;COSTO MANO DE OBRA;PEAJES RUTA;VALOR PEAJES;CONSUMO ACPM;COSTO ACPM;ALOJAM.;MANUTENC.;IMPREVISTOS;MANTENIMIENTO;DIVERSOS;FLETE 
12-ene;B/BERMEJA;LA PUTANA;100;23;24350;24457;107; -   ;32.790;32.790; -   ;1:05:00;0:20;1:30:00;3:43:43;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
13-ene;B/BERMEJA;LA LIZAMA;68;30;24461;24557;96; -   ;32.250;32.250; -   ;2:10:00;1:30;2:00:00;3:53:15;1;$ 122.978;0; -   ;20;175.800; -   ;13.600; -   ; -   ; -   ;$ 34
13-ene;B/BERMEJA;LA PAYOA;68;30;24461;24565;104; -   ;33.090;33.090; -   ;2:10:00;1:30;2:00:00;4:36:27;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
14-ene;B/BERMEJA;CARTAGENA;1338;160;824282;826152;1870; Revisar Km. ;32.471;;32.471;0:00:00;0:00;0:00:00;63:09:44;6;$ 737.868;18;569.200;268;3.009.219;22.950;40.800; -   ; -   ;29.000; $ - 
14-ene;B/BERMEJA;CARTAGENA;1338;160;947076;949032;1956; Revisar Km. ;33.190;33.160;30;0:00:00;0:00;0:00:00;60:28:24;7;$ 860.846;20;575.800;294;2.477.274;22.950;40.800; -   ;190.000;30.000;$ 135
14-ene;B/BERMEJA;CARTAGENA;1338;160;873769;875104;1335; -   ;33.370;33.340;30;0:00:00;0:00;0:00:00;64:10:37;6;$ 737.868;18;542.800;228;3.462.723;22.950;40.800; -   ; -   ;7.000;$ 135
14-ene;B/BERMEJA;CARTAGENA;1338;160;572681;574598;1917; Revisar Km. ;33.150;33.000;150;0:00:00;0:00;0:00:00;48:16:59;5;$ 614.890;20;576.800;225;2.261.093;22.950;40.800; -   ;195.000;10.000;$ 135
14-ene;B/BERMEJA;CARTAGENA;1338;160;1054234;1056190;1956; Revisar Km. ;32.979;32.990;-11;0:00:00;0:00;0:00:00;65:45:13;7;$ 860.846;18;542.800;247;2.158.139;45.900;54.400; -   ;380.000;47.000;$ 135
14-ene;B/BERMEJA;CARTAGENA;1338;160;921673;923590;1917; Revisar Km. ;33.200;33.140;60;0:00:00;0:00;0:00:00;60:21:22;6;$ 737.868;20;576.800;258;2.280.242;45.900;40.800; -   ;574.000;10.000;$ 135
14-ene;SAN JUAN NEPOMUCENO;B/BERMEJA;N/A;0;946890;948123;1233;#­VALOR!; -   ; -   ; -   ;0:00:00;0:00;0:00:00;41:58:15;5;$ 614.890;9;259.300;237;1.944.800; -   ;20.400; -   ; -   ;45.000; $ - 
